Category,Project,Allocation
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/go-ethereum/,"234,544.68"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Protocol-Guild,"223,384.19"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Solidity,"204,725.25"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Account-Abstraction---ERC-4337,"163,047.79"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Nethermind-Ethereum-Execution-Client,"155,898.10"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Erigon,"139,506.13"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Lighthouse,"139,506.13"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Revm,"131,833.29"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/ethereumjs-monorepo,"124,160.46"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Vyper,"121,021.57"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Besu,"121,021.57"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Nimbus,"106,024.66"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Lodestar,"102,362.62"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Rust-Libp2p,"93,469.11"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Dappnode,"87,191.33"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Ethereum-on-ARM,"83,354.91"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/js-libp2p,"76,379.61"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Act,"70,101.83"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Fe-Language,"69,753.07"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Rust-KZG,"69,753.07"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/jvm-libp2p,"69,753.07"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Blocknative-Blob-Archive-and-Research,"67,311.71"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/RIG-Ethereum-Core-Research,"64,172.82"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/nim-libp2p,"62,603.38"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Hermes---a-GossipSub-listener-and-tracer-for-libp2p-based-networks,"57,720.66"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Grandine,"56,325.60"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/quic-go,"55,104.92"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Ethereum-POS-Testnet,"52,314.80"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/Smooth-Cryptolib,"52,314.80"
ETHEREUM_CORE_CONTRIBUTIONS,https://retropgfhub.com/explore/RetroPGF5/An-indepedent-ethereum-execution-client-contributor,"36,969.12"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/OP-Reth,"160,975.55"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/go-libp2p,"144,461.28"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/OP-Nethermind,"141,374.50"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Ethereum-Attestation-Service-EAS,"132,268.50"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Asterisc,"132,114.17"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Delta-Network-Upgrade,"130,725.11"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/OP-Erigon,"129,644.74"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/OP-Succinct-Full-ZK-Validity-Proving-of-OP-Stack-Rollups-with-SP1,"123,471.18"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Code4rena,"107,882.95"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Fault-Dispute-Game-Audit-Contest,"100,320.34"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Permissionless-ZK-Fault-Proof-System,"97,542.23"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Formal-Verification-of-Optimisms-L1-pausability-mechanism,"96,461.86"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Solady,"95,072.81"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/hildr,"94,609.79"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/op-besu,"94,146.78"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Fault-Proofs-security-research,"92,603.39"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/1-Click-Price-Oracle,"89,825.29"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Derive-Formerly-Lyra-OP-Custom-Gas-Limit-Research,"89,053.59"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Cantinaxyz---OP-Stack,"88,436.23"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Feasibility-study-for-Front-running-protection-via-shielded-mempool-for-the-OP-Stack-using-threshold-encryption,"81,027.96"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/blob-archiver-rs,"77,941.18"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Research-and-development-on-multi-section-fault-dispute-game,"77,169.49"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Native-Account-Abstraction-on-OP-Stack,"76,089.12"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Alt-DA-Server--Translation-Hub,"70,995.93"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Sherlock,"70,069.90"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Deployment-of-the-Shutterized-Optimism-SHOP-testnet-with-the-SHOP-SDK,"67,909.15"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/OPcity-stack,"62,661.63"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/Immunefi-Bug-Bounty-Platform,"62,507.29"
OP_STACK_RESEARCH_AND_DEVELOPMENT,https://retropgfhub.com/explore/RetroPGF5/opUSDC,"60,192.20"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Conduit-OP-Stack-Contributions,"173,764.96"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Kurtosis-optimism-package,"155,951.75"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Sedge-,"140,781.79"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Rollup-as-a-Service-Platform,"124,577.52"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/TechNERDs-Program,"121,704.42"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/roll-op,"119,750.72"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Maintaining-simple-optimism-node,"114,923.91"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/AWS-KMS-and-YubiHSM-signer-for-OP-Stack,"111,246.35"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Upnode-Deploy,"103,201.67"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/One-click-bare-metal-node-deployment,"95,616.70"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Node-Guardians,"91,939.13"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Builderism,"89,180.96"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Redprint,"86,652.63"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/RaaS-and-Restaking-for-OP-Stack-rollups,"86,307.86"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Optimism-Collective-and-OP-Stack-Documentation-Improvements,"83,434.76"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Asphere-Rollup-as-a-Service,"80,446.74"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/OP-STACK-DEPLOYER,"74,240.85"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Understanding-Optimism-Codebase-,"71,137.90"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/The-book-of-optimism-fault-proof,"69,528.97"
OP_STACK_TOOLING,https://retropgfhub.com/explore/RetroPGF5/Zeeve-RaaS-for-OP-Stack,"66,426.02"
